Name,Campus,Grade Level Category/Group,"Date (Month Day, Year)",Time (24 hrs), Name in Spanish
Start of Christmas Break,Vinland,High School,"December 18, 2026",15:25:00,Inicio de las vacaciones de Navidad
End of the Year,Vinland,High School,"May 27, 2027 ",15:25:00,Fin del año
End of QTR 1,Vinland,High School,"October 16, 2026",15:25:00,Fin del trimestre 1
End of QTR 2,Vinland,High School,"January 13, 2027",15:25:00,Fin del trimestre 2
End of QTR 3,Vinland,High School,"March 19, 2027",15:25:00,Fin del trimestre 3
End of QTR 4,Vinland,High School,"May 27, 2027 ",15:25:00,Fin del trimestre 4
End of J-Term,Vinland,High School,"January 13, 2027",15:25:00,Fin del periodo J
